id,City,State,Country
1,Goodyear,AZ,USA
2,Walton Hills,OH,USA
3,Outremont,QC,Canada
4,LaGrange,OH,USA
5,Whiitby,ON,Canada
6,N.Las Vegas,NV,USA
7,Avon,OH,USA
8,Scarborough,ON,Canada
9,Montrose,OH,USA
10,North Ridgeville,OH,USA
11,Export,PA,USA
12,De Forest,WI,USA
13,L'ile-Perrot,QC,Canada
14,Stoughton,WI,USA
15,Mc Farland,WI,USA
16,Lake Park,NC,USA
17,Woodmere Village,OH,USA
18,Villa Grove,IL,USA
19,Northwest Calgary,AB,Canada
20,Huntingdon,QC,Canada
21,Greensburg,PA,USA
22,Wickliffe,OH,USA
23,Nellis AFB,NV,USA
24,Hampstead,QC,Canada
25,Oakland Old,CA,USA
26,New Eagle,PA,USA
27,Oakvile,ON,Canada
28,Hudson,OH,USA
29,White Oak,PA,USA
30,Gormley,ON,Canada
31,Sidney,IL,USA
32,Lyndhurst,OH,USA
33,Sun Lakes,AZ,USA
34,Jefferson Hills,PA,USA
35,Boisbriand,QC,Canada
36,Indianola,PA,USA
37,Streetsville,ON,Canada
38,Anjou,QC,Canada
39,Weddington,NC,USA
40,Parma,OH,USA
41,Oakmont,PA,USA
42,DeForest,WI,USA
43,Chateauguay,QC,Canada
44,Lorain,OH,USA
45,Maple Heights,OH,USA
46,Pheonix,AZ,USA
47,Alburg,VT,USA
48,Parma Hts.,OH,USA
49,Chardon,OH,USA
50,Monroe,NC,USA
51,East Gwillimburry,ON,Canada
52,East Gwillimbury,ON,Canada
53,Pleasant Hills,PA,USA
54,Cheswick,PA,USA
55,St Joseph,IL,USA
56,Tottenham,ON,Canada
57,Shaler Township,PA,USA
58,Indian land,SC,USA
59,Brunswick,OH,USA
60,Fabreville,QC,Canada
61,N Las Vegas,NV,USA
62,Elyria,OH,USA
63,Tempe,AZ,USA
64,Sheboygan,WI,USA
65,Matthews,NC,USA
66,Richmond Hill,ON,Canada
67,Rocky View No. 44,AB,Canada
68,Columbia Station,OH,USA
69,Henderson,NV,USA
70,Mentor On the Lake,OH,USA
71,Summerlin,NV,USA
72,York,SC,USA
73,Henryville,QC,Canada
74,Urbana,IL,USA
75,Lawrence,PA,USA
76,Ft. Mill,SC,USA
77,Orange,OH,USA
78,Charlotte,NC,USA
79,Rock Hill,SC,USA
80,Bradford West Gwillimbury,ON,Canada
81,Mc Kees Rocks,PA,USA
82,Hampton Township,PA,USA
83,Elizabeth,PA,USA
84,Saint-Henri,QC,Canada
85,Turtle Creek,PA,USA
86,Grand River,OH,USA
87,Woodbridge,ON,Canada
88,Regent Square,PA,USA
89,Robinson Twp.,PA,USA
90,Rosemere,QC,Canada
91,Ste-Dorothée,QC,Canada
92,Tolono,IL,USA
93,Eastlake,OH,USA
94,Rosemère,QC,Canada
95,New Tecumseth,ON,Canada
96,L'Île-des-Sœurs,QC,Canada
97,kirtland,OH,USA
98,Prévost,QC,Canada
99,Robinson Township,PA,USA
100,Mattews,NC,USA
101,South Park,PA,USA
102,Calgary,AB,Canada
103,Canonsburg,WA,USA
104,Scottsdale,AZ,USA
105,Coraopolis,PA,USA
106,Oshawa,ON,Canada
107,Las Vegas,PA,USA
108,Montréal-West,QC,Canada
109,Oakville,ON,Canada
110,L'Assomption,QC,Canada
111,Saint Joseph,IL,USA
112,Oakwood Village,OH,USA
113,Caledon Village,ON,Canada
114,Neville Island,PA,USA
115,Morin-Heights,QC,Canada
116,Stouffville,ON,Canada
117,Tolleson,AZ,USA
118,Nobleton,ON,Canada
119,Baie-d'Urfé,QC,Canada
120,Northfield Center Township,OH,USA
121,Bedford Hts.,OH,USA
122,Duquesne,PA,USA
123,Mentor On the,OH,USA
124,Cleveland,FL,USA
125,Cuyahoga Falls,OH,USA
126,Rillton,PA,USA
127,Mentor,OH,USA
128,Châteauguay,QC,Canada
129,Saint-Sauveur-Des-Monts,QC,Canada
130,Blakeney,NC,USA
131,Garfield Hts.,OH,USA
132,West View,PA,USA
133,Varennes,QC,Canada
134,Monterey Park,CA,USA
135,Munroe Falls,OH,USA
136,Mayfield Hts,OH,USA
137,Kirlkland,QC,Canada
138,Saint-Constant,QC,Canada
139,Peninsula,OH,USA
140,Copley,OH,USA
141,Medina,OH,USA
142,Pointe-Claire,QC,Canada
143,Oakdale,PA,USA
144,Fitchburg,WI,USA
145,Reedsburg,WI,USA
146,Spring Hill City View,PA,USA
147,Kennedy Township,PA,USA
148,Shaker Heights,OH,USA
149,N.Versailles,PA,USA
150,Concord Twp,OH,USA
151,Avondale,AZ,USA
152,Middleton,WI,USA
153,Rocky View County,AB,Canada
154,Cuyahoga Heights,OH,USA
155,Castle Shannon,PA,USA
156,Millvale,PA,USA
157,Twinsburg,OH,USA
158,Buena Vista,PA,USA
159,ETOBICOKE,ON,Canada
160,Centre Island,ON,Canada
161,Phoenix,TX,USA
162,Richmond Hts,OH,USA
163,Inglewood,ON,Canada
164,Northfield Center,OH,USA
165,Montreal-Nord,QC,Canada
166,Vaudreuil-Dorion,QC,Canada
167,Rocky River,OH,USA
168,Moon Twp,PA,USA
169,Farnham,QC,Canada
170,Rigaud,QC,Canada
171,Sainte-Marthe,QC,Canada
172,Higley,AZ,USA
173,Havelock,QC,Canada
174,Creighton,PA,USA
175,GILBERT,AZ,USA
176,Warrensville Hts.,OH,USA
177,Avondale,AR,USA
178,Macedonia,CO,USA
179,Gifford,IL,USA
180,Queen Creek,AZ,USA
181,Sainte-Adèle,AB,Canada
182,Scarobrough,ON,Canada
183,Schottsdale,AZ,USA
184,Dorval,AB,Canada
185,Wahiawa,HI,USA
186,Paoli,WI,USA
187,Maricopa,AZ,USA
188,Ville-Marie,QC,Canada
189,River Drive Park,ON,Canada
190,Central City,AZ,USA
191,Russellton,PA,USA
192,McKeesport,PA,USA
193,S.Euclid,OH,USA
194,Ft.Mill,SC,USA
195,Gelndale,AZ,USA
196,Aspinwall,PA,USA
197,Mt Holly,NC,USA
198,Marshall,WI,USA
199,East York,ON,Canada
200,Venetia,PA,USA
201,Saint-Basile-Le-Grand,QC,Canada
202,Salem,OR,USA
203,Division No. 6,AB,Canada
204,North Las Vegas,NV,USA
205,Pierrefonds,QC,Canada
206,Québec,QC,Canada
207,Valleyfield,QC,Canada
208,Belleville,WI,USA
209,Sheffield,OH,USA
210,Communauté-Urbaine-de-Montréal,QC,Canada
211,Cuyahoga Fls,OH,USA
212,Saint-Jérôme,QC,Canada
213,Paradise,NV,USA
214,Avon Lake,OH,USA
215,Deforest,WI,USA
216,Olmsted Falls,OH,USA
217,Beauharnois,QC,Canada
218,Sunrise Manor,NV,USA
219,Lavaltrie,QC,Canada
220,Pepper Pike,OH,USA
221,Laval,QC,Canada
222,Hendersonville,PA,USA
223,Lacolle,QC,Canada
224,North Royalton,OH,USA
225,Wilkinsburg,PA,USA
226,Lower burrell,PA,USA
227,Rocky View,AB,Canada
228,Savoy,IL,USA
229,Old Port of Montreal,QC,Canada
230,Bois-des-Filion,QC,Canada
231,Brook Park,OH,USA
232,Harmarville,PA,USA
233,Mayfield Heights,OH,USA
234,McKnight,PA,USA
235,South Las Vegas,NV,USA
236,Dollard-des Ormeaux,QC,Canada
237,Litchfield Park,AZ,USA
238,Edgewood,PA,USA
239,N Ridgeville,OH,USA
240,Penn Hills Township,PA,USA
241,Seven Hills,OH,USA
242,Mooresville,NC,USA
243,Saint-Eustache,QC,Canada
244,Saint-Bruno,QC,Canada
245,Pointe-Aux-Trembles,QC,Canada
246,North Olmsted,OH,USA
247,Chicago Old,IL,USA
248,Palgrave,ON,Canada
249,Caledon,ON,Canada
250,L'Île-Perrot,QC,Canada
251,North York,AB,Canada
252,Saint-Jean-Sur-Richelieu,QC,Canada
253,Independence,OH,USA
254,Pheonix AZ,AZ,USA
255,Olmsted Township,OH,USA
256,Oakland Old,PA,USA
257,Erie,OH,USA
258,Harwick,PA,USA
259,Whitby,ON,Canada
260,Sutersville,PA,USA
261,Indian Trail,NC,USA
262,Central City Village,AZ,USA
263,Rankin,PA,USA
264,Medina Township,OH,USA
265,Montréal-Ouest,QC,Canada
266,Mayfield,OH,USA
267,Mint Hill,NC,USA
268,Fairlawn,OH,USA
269,Ange-Gardien,QC,Canada
270,Dollard-Des-Ormeaux,QC,Canada
271,North Olmstead,OH,USA
272,Windsor,WI,USA
273,NELLIS AFB,NV,USA
274,Braddock,PA,USA
275,Port Vue,PA,USA
276,Mahomet,IL,USA
277,West Homestead,PA,USA
278,Summerlin South,NV,USA
279,Rexdale,ON,Canada
280,Chatauguay,QC,Canada
281,Pahrump,NV,USA
282,Carnegie,PA,USA
283,Surprise,AZ,USA
284,North Strabane Township,PA,USA
285,North Huntingdon,PA,USA
286,West Elizabeth,PA,USA
287,Hinckley,OH,USA
288,Schomberg,ON,Canada
289,Etobicoke,ON,Canada
290,Willoughby Hills,OH,USA
291,New Kensington,PA,USA
292,Ville Mont-Royal,QC,Canada
293,St-Jean Sur Richelieu,QC,Canada
294,Bolton,ON,Canada
295,La Salle,QC,Canada
296,Brecksville,OH,USA
297,Westlake,OH,USA
298,Tuscola,IL,USA
299,Saint-Marc-sur-Richelieu,QC,Canada
300,Downsview,ON,Canada
301,Sainte-Genevieve,QC,Canada
302,Piedmont,QC,Canada
303,De l'Eglise,QC,Canada
304,Moon TWP,PA,USA
305,Hiram,OH,USA
306,Sainte-Madeleine,QC,Canada
307,Middleburg Hts.,OH,USA
308,Broadview Heights,OH,USA
309,Sainte-Rose,QC,Canada
310,Sewickley,PA,USA
311,Irwin,PA,USA
312,Mantua,OH,USA
313,Alberta,AB,Canada
314,Leslieville,ON,Canada
315,Saint-laurent,QC,Canada
316,Markham,BC,Canada
317,West Mifflin,PA,USA
318,Georgetown,ON,Canada
319,Burton,OH,USA
320,Upper St Clair,PA,USA
321,Oak Ridges,ON,Canada
322,Green Tree,PA,USA
323,Ambridge,PA,USA
324,Mercier,QC,Canada
325,Dallas,TX,USA
326,Joliette,QC,Canada
327,Pitcairn,PA,USA
328,Sainte-Thérèse-de-Blainville,QC,Canada
329,Parma Heights,OH,USA
330,N. Las Vegas,NV,USA
331,Concord Township,OH,USA
332,Greenfield-Park,QC,Canada
333,McMasterville,QC,Canada
334,Presto,PA,USA
335,Iberville,QC,Canada
336,Emsworth,PA,USA
337,St-Bruno-de-Montarville,QC,Canada
338,Fisher,IL,USA
339,Montréal,QC,Canada
340,Woodmere,OH,USA
341,Montreal-West,QC,Canada
342,Streetsboro,OH,USA
343,Gates Mills,OH,USA
344,Saint-Sauveur-des-Monts,QC,Canada
345,PIttsburgh,PA,USA
346,Bainbridge Township,OH,USA
347,Ravenna,OH,USA
348,Vaughan,ON,Canada
349,Cleveland,OH,USA
350,Tarentum,PA,USA
351,Mayfield Hts.,OH,USA
352,Île-Perrot,QC,Canada
353,Brunswick Hills,OH,USA
354,Central,AZ,USA
355,Sun Prairie,WI,USA
356,Bedford Heights,OH,USA
357,Airdrie,AB,Canada
358,Maple,ON,Canada
359,Hopewell,VA,USA
360,Mississauga,ON,Canada
361,Thorncliffe Park,ON,Canada
362,Wexford,PA,USA
363,Heidelberg,PA,USA
364,Pointe-aux-Trembles,QC,Canada
365,Sainte-Catherine,QC,Canada
366,Gilbert,AZ,USA
367,Sainte-Julie,QC,Canada
368,North Toronto,ON,Canada
369,North Huntington,PA,USA
370,Valley City,OH,USA
371,Litchfield,OH,USA
372,Missisauga,ON,Canada
373,Midway,PA,USA
374,Centennial,CO,USA
375,Mont-Saint-Grégoire,QC,Canada
376,Peters (Township Of),PA,USA
377,Elrama,PA,USA
378,Richmond Hil,ON,Canada
379,St-Laurent,QC,Canada
